,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,year,month,month_name,day,day_of_week,rt_normalized,profit,profit_ratio,overseas_gross
20,Twelve Monkeys,57141459.0,168841459.0,,29000000.0,1995-12-27,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858.0,1995,12,December,27,Wednesday,,139841459.0,4.822119275862069,111700000.0
21,1776,0.0,0.0,,4000000.0,1972-11-09,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57.0,7.0,4099.0,1972,11,November,9,Thursday,5.7,-4000000.0,-1.0,0.0
22,1941,34175000.0,94875000.0,,32000000.0,1979-12-14,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0,1979,12,December,14,Friday,3.3,62875000.0,1.96484375,60700000.0
23,Chacun sa nuit,18435.0,18435.0,,1900000.0,2007-06-29,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365.0,2007,6,June,29,Friday,,-1881565.0,-0.9902973684210526,0.0
24,2001: A Space Odyssey,56700000.0,68700000.0,,10500000.0,1968-04-02,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0,1968,4,April,2,Tuesday,9.6,58200000.0,5.542857142857143,12000000.0
25,"20,000 Leagues Under the Sea",28200000.0,28200000.0,,5000000.0,1954-12-23,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92.0,,,1954,12,December,23,Thursday,9.2,23200000.0,4.64,0.0
26,"20,000 Leagues Under the Sea",8000000.0,8000000.0,,200000.0,2016-12-24,,,,Based on Book/Short Story,Adventure,,,,,,1916,12,December,24,Saturday,,7800000.0,39.0,0.0
27,24 7: Twenty Four Seven,72544.0,72544.0,,2000000.0,1998-04-15,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417.0,1998,4,April,15,Wednesday,,-1927456.0,-0.963728,0.0
28,Twin Falls Idaho,985341.0,1027228.0,,500000.0,1999-07-30,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Michael Polish,77.0,7.1,2810.0,1999,7,July,30,Friday,7.7,527228.0,1.054456,41887.0
29,Three Kingdoms: Resurrection of the Dragon,0.0,22139590.0,,20000000.0,2008-04-03,R,,,Based on Book/Short Story,Action,Historical Fiction,,,,,2008,4,April,3,Thursday,,2139590.0,0.1069795,22139590.0
30,3 Men and a Baby,167780960.0,167780960.0,,15000000.0,1987-11-25,,,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Leonard Nimoy,,5.7,16764.0,1987,11,November,25,Wednesday,,152780960.0,10.185397333333333,0.0
31,3 Ninjas Kick Back,11744960.0,11744960.0,,20000000.0,1994-05-06,PG,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,,17.0,3.2,3107.0,1994,5,May,6,Friday,1.7,-8255040.0,-0.412752,0.0
32,Forty Shades of Blue,75828.0,172569.0,,1500000.0,2005-09-28,R,,Vitagraph Films,Original Screenplay,Drama,,,,6.0,873.0,2005,9,September,28,Wednesday,,-1327431.0,-0.884954,96741.0
33,42nd Street,2300000.0,2300000.0,,439000.0,2033-03-09,,,Warner Bros.,Based on Book/Short Story,Musical,,,95.0,7.7,4263.0,1933,3,March,9,Wednesday,9.5,1861000.0,4.239179954441913,0.0
34,Four Rooms,4301000.0,4301000.0,,4000000.0,1995-12-25,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Robert Rodriguez,14.0,6.4,34328.0,1995,12,December,25,Monday,1.4,301000.0,0.07525,0.0
35,The Four Seasons,42488161.0,42488161.0,,6500000.0,1981-05-22,,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Alan Alda,71.0,7.0,1814.0,1981,5,May,22,Friday,7.1,35988161.0,5.536640153846154,0.0
36,Four Weddings and a Funeral,52700832.0,242895809.0,,4500000.0,1994-03-09,R,,Gramercy,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mike Newell,96.0,7.1,39003.0,1994,3,March,9,Wednesday,9.6,238395809.0,52.97684644444445,190194977.0
37,51 Birch Street,84689.0,84689.0,,350000.0,2006-10-18,Not Rated,,Truly Indie,,,,,97.0,7.4,439.0,2006,10,October,18,Wednesday,9.7,-265311.0,-0.7580314285714286,0.0
38,55 Days at Peking,10000000.0,10000000.0,,17000000.0,1962-12-31,,,,Original Screenplay,Drama,,,57.0,6.8,2104.0,1962,12,December,31,Monday,5.7,-7000000.0,-0.4117647058823529,0.0
39,Nine 1/2 Weeks,6734844.0,6734844.0,,18000000.0,1986-02-21,,,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Adrian Lyne,,5.4,12731.0,1986,2,February,21,Friday,,-11265156.0,-0.625842,0.0
40,AstÈrix aux Jeux Olympiques,999811.0,132999811.0,,113500000.0,2008-07-04,Not Rated,,Alliance,Based on Comic/Graphic Novel,Adventure,Fantasy,,,4.9,5620.0,2008,7,July,4,Friday,,19499811.0,0.17180450220264318,132000000.0
41,The Abyss,54243125.0,54243125.0,,70000000.0,1989-08-09,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,88.0,7.6,51018.0,1989,8,August,9,Wednesday,8.8,-15756875.0,-0.22509821428571428,0.0
42,Action Jackson,20257000.0,20257000.0,,7000000.0,1988-02-12,,,Lorimar Motion Pictures,Original Screenplay,Action,Contemporary Fiction,,10.0,4.6,3856.0,1988,2,February,12,Friday,1.0,13257000.0,1.893857142857143,0.0
43,Ace Ventura: Pet Detective,72217396.0,107217396.0,,12000000.0,1994-02-04,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Tom Shadyac,49.0,6.6,63543.0,1994,2,February,4,Friday,4.9,95217396.0,7.934783,35000000.0
44,Ace Ventura: When Nature Calls,108360063.0,212400000.0,,30000000.0,1995-11-10,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Steve Oedekerk,,5.6,51275.0,1995,11,November,10,Friday,,182400000.0,6.08,104039937.0
45,April Fool's Day,12947763.0,12947763.0,,5000000.0,1986-03-27,,,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,,31.0,,,1986,3,March,27,Thursday,3.1,7947763.0,1.5895526,0.0
46,Among Giants,64359.0,64359.0,,4000000.0,1999-03-26,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,,,,5.7,546.0,1999,3,March,26,Friday,,-3935641.0,-0.98391025,0.0
47,Annie Get Your Gun,8000000.0,8000000.0,,3768785.0,1950-05-17,,,MGM,Based on Book/Short Story,Musical,,,100.0,7.1,1326.0,1950,5,May,17,Wednesday,10.0,4231215.0,1.122700021359669,0.0
48,Alice in Wonderland,0.0,0.0,,3000000.0,1951-07-28,,,RKO Radio Pictures,Based on Book/Short Story,Musical,,,20.0,6.7,63458.0,1951,7,July,28,Saturday,2.0,-3000000.0,-1.0,0.0
49,The Princess and the Cobbler,669276.0,669276.0,,24000000.0,1995-08-25,G,,Miramax,Original Screenplay,Adventure,Fantasy,,,7.3,893.0,1995,8,August,25,Friday,,-23330724.0,-0.9721135,0.0
50,The Alamo,7900000.0,7900000.0,,12000000.0,1960-10-24,PG-13,,United Artists,Original Screenplay,Western,Historical Fiction,John Wayne,54.0,5.9,10063.0,1960,10,October,24,Monday,5.4,-4100000.0,-0.3416666666666667,0.0
51,Alexander's Ragtime Band,4000000.0,4000000.0,,2000000.0,1937-12-31,,,20th Century Fox,Original Screenplay,Drama,,,,,,1937,12,December,31,Friday,,2000000.0,1.0,0.0
52,Alive,36299670.0,36299670.0,,32000000.0,1993-01-15,R,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Dramatization,Frank Marshall,71.0,3.2,124.0,1993,1,January,15,Friday,7.1,4299670.0,0.1343646875,0.0
53,Amen,274299.0,274299.0,,14000000.0,2003-01-24,Not Rated,,Kino International,Based on Play,Drama,,Costa-Gavras,,7.4,5416.0,2003,1,January,24,Friday,,-13725701.0,-0.9804072142857143,0.0
54,American Graffiti,115000000.0,140000000.0,,777000.0,1973-08-11,,,Universal,Original Screenplay,Comedy,,George Lucas,97.0,7.6,30952.0,1973,8,August,11,Saturday,9.7,139223000.0,179.18018018018017,25000000.0
55,American Ninja 2: The Confrontation,4000000.0,4000000.0,,350000.0,1986-12-31,,,,Original Screenplay,Action,,Sam Firstenberg,,3.7,2495.0,1986,12,December,31,Wednesday,,3650000.0,10.428571428571429,0.0
56,The American President,60022813.0,107822813.0,,62000000.0,1995-11-17,PG-13,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Rob Reiner,90.0,6.8,22780.0,1995,11,November,17,Friday,9.0,45822813.0,0.739077629032258,47800000.0
57,Annie Hall,38251425.0,38251425.0,,4000000.0,1977-04-20,,,MGM,Original Screenplay,Comedy,,Woody Allen,98.0,8.2,65406.0,1977,4,April,20,Wednesday,9.8,34251425.0,8.56285625,0.0
58,Anatomie,9598.0,9598.0,,2500000.0,2000-09-08,Not Rated,,Sony Pictures,Original Screenplay,Horror,,,,6.1,6266.0,2000,9,September,8,Friday,,-2490402.0,-0.9961608,0.0
59,The Adventures of Huck Finn,24103594.0,24103594.0,,6500000.0,1993-04-02,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,62.0,5.8,3095.0,1993,4,April,2,Friday,6.2,17603594.0,2.7082452307692306,0.0
60,The Apartment,18600000.0,24600000.0,,3000000.0,1959-12-31,,,United Artists,Original Screenplay,Romantic Comedy,,Billy Wilder,91.0,8.4,36485.0,1959,12,December,31,Thursday,9.1,21600000.0,7.2,6000000.0
61,Apocalypse Now,78800000.0,78800000.0,3479242.0,31500000.0,1979-08-15,R,,MGM,Based on Book/Short Story,Action,Historical Fiction,Francis Ford Coppola,98.0,8.6,173141.0,1979,8,August,15,Wednesday,9.8,47300000.0,1.5015873015873016,0.0
62,Arachnophobia,53208180.0,53208180.0,,31000000.0,1990-07-18,,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Frank Marshall,85.0,6.2,20528.0,1990,7,July,18,Wednesday,8.5,22208180.0,0.7163929032258064,0.0
63,Arn - Tempelriddaren,0.0,14900000.0,,16500000.0,2007-12-25,R,,,Based on Book/Short Story,Action,Historical Fiction,,,6.4,6251.0,2007,12,December,25,Tuesday,,-1600000.0,-0.09696969696969697,14900000.0
64,Arnolds Park,23616.0,23616.0,,600000.0,2007-10-19,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77.0,2007,10,October,19,Friday,,-576384.0,-0.96064,0.0
65,Sweet Sweetback's Baad Asssss Song,15200000.0,15200000.0,,150000.0,1971-01-01,,,,,,,,,5.6,1769.0,1971,1,January,1,Friday,,15050000.0,100.33333333333333,0.0
66,And Then Came Love,8158.0,8158.0,,989000.0,2007-06-01,Not Rated,,Fox Meadow,,Comedy,,,17.0,4.4,200.0,2007,6,June,1,Friday,1.7,-980842.0,-0.9917512639029322,0.0
67,Around the World in 80 Days,42000000.0,42000000.0,,6000000.0,1956-10-17,PG,,United Artists,Based on Book/Short Story,Adventure,,,73.0,5.6,21516.0,1956,10,October,17,Wednesday,7.3,36000000.0,6.0,0.0
68,Barbarella,0.0,0.0,,9000000.0,1968-10-10,,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,74.0,5.7,10794.0,1968,10,October,10,Thursday,7.4,-9000000.0,-1.0,0.0
69,Barry Lyndon,20000000.0,20000000.0,,11000000.0,1974-12-31,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94.0,8.1,39909.0,1974,12,December,31,Tuesday,9.4,9000000.0,0.8181818181818182,0.0
70,"Barbarians, The",800000.0,800000.0,,4000000.0,1987-03-01,,,,,,,,,5.4,236.0,1987,3,March,1,Sunday,,-3200000.0,-0.8,0.0
71,Babe,63658910.0,246100000.0,,30000000.0,1995-08-04,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98.0,7.3,35644.0,1995,8,August,4,Friday,9.8,216100000.0,7.203333333333333,182441090.0
72,Boynton Beach Club,3127472.0,3127472.0,,2900000.0,2006-03-24,R,104.0,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,,2006,3,March,24,Friday,,227472.0,0.07843862068965517,0.0
73,Baby's Day Out,16581575.0,16581575.0,,50000000.0,1994-07-01,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21.0,5.0,8332.0,1994,7,July,1,Friday,2.1,-33418425.0,-0.6683685,0.0
74,Bound by Honor,4496583.0,4496583.0,,35000000.0,1993-04-16,,,Walt Disney Pictures,Original Screenplay,,,Taylor Hackford,,7.7,10142.0,1993,4,April,16,Friday,,-30503417.0,-0.8715262,0.0
75,"Bon Cop, Bad Cop",12671300.0,12671300.0,,8000000.0,2006-08-04,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67.0,6.9,151.0,2006,8,August,4,Friday,6.7,4671300.0,0.5839125,0.0
76,Back to the Future,210609762.0,381109762.0,,19000000.0,1985-07-03,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96.0,8.4,201598.0,1985,7,July,3,Wednesday,9.6,362109762.0,19.05840852631579,170500000.0
77,Back to the Future Part II,118450002.0,332000000.0,,40000000.0,1989-11-22,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64.0,7.5,87341.0,1989,11,November,22,Wednesday,6.4,292000000.0,7.3,213549998.0
78,Back to the Future Part III,87666629.0,243700000.0,,40000000.0,1990-05-24,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71.0,7.1,77541.0,1990,5,May,24,Thursday,7.1,203700000.0,5.0925,156033371.0
79,Butch Cassidy and the Sundance Kid,102308900.0,102308900.0,,6000000.0,1969-10-24,,,20th Century Fox,,Western,Historical Fiction,George Roy Hill,90.0,8.2,57602.0,1969,10,October,24,Friday,9.0,96308900.0,16.051483333333334,0.0
80,Bad Boys,65647413.0,141247413.0,,23000000.0,1995-04-07,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39.0,6.6,53929.0,1995,4,April,7,Friday,3.9,118247413.0,5.141191869565217,75600000.0
81,Body Double,8801940.0,8801940.0,,10000000.0,1984-10-26,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84.0,6.4,9738.0,1984,10,October,26,Friday,8.4,-1198060.0,-0.119806,0.0
82,"The Beast from 20,000 Fathoms",5000000.0,5000000.0,,210000.0,1953-06-13,,,Warner Bros.,Based on Book/Short Story,,,,90.0,,,1953,6,June,13,Saturday,9.0,4790000.0,22.80952380952381,0.0
83,Beastmaster 2: Through the Portal of Time,773490.0,773490.0,,6000000.0,1991-08-30,,,New Line,Based on Book/Short Story,,Fantasy,,17.0,3.3,1327.0,1991,8,August,30,Friday,1.7,-5226510.0,-0.871085,0.0
84,The Beastmaster,10751126.0,10751126.0,,5000000.0,1982-08-20,,,MGM,Based on Book/Short Story,Action,Fantasy,,50.0,5.7,5734.0,1982,8,August,20,Friday,5.0,5751126.0,1.1502252,0.0
85,Ben-Hur,9000000.0,9000000.0,,3900000.0,2025-12-30,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510.0,1925,12,December,30,Tuesday,,5100000.0,1.3076923076923077,0.0
86,Ben-Hur,73000000.0,73000000.0,,15000000.0,1959-11-18,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91.0,8.2,58510.0,1959,11,November,18,Wednesday,9.1,58000000.0,3.8666666666666667,0.0
87,Benji,31559560.0,31559560.0,,500000.0,1974-11-15,,,,Original Screenplay,Adventure,,,83.0,5.8,1801.0,1974,11,November,15,Friday,8.3,31059560.0,62.11912,0.0
88,Before Sunrise,5274005.0,5274005.0,,2500000.0,1995-01-27,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100.0,8.0,39705.0,1995,1,January,27,Friday,10.0,2774005.0,1.109602,0.0
89,Beauty and the Beast,171340294.0,403476931.0,,20000000.0,1991-11-13,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93.0,3.4,354.0,1991,11,November,13,Wednesday,9.3,383476931.0,19.17384655,232136637.0
90,The Best Years of Our Lives,23600000.0,23600000.0,,2100000.0,2046-11-21,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97.0,8.2,17338.0,1946,11,November,21,Wednesday,9.7,21500000.0,10.238095238095237,0.0
91,The Ballad of Gregorio Cortez,909000.0,909000.0,,1305000.0,1983-08-19,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,,1983,8,August,19,Friday,,-396000.0,-0.30344827586206896,0.0
92,My Big Fat Independent Movie,4655.0,4655.0,,3000000.0,2005-09-30,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23.0,3.2,1119.0,2005,9,September,30,Friday,2.3,-2995345.0,-0.9984483333333334,0.0
93,Battle for the Planet of the Apes,8800000.0,8800000.0,,1800000.0,1972-12-31,,,20th Century Fox,,,Science Fiction,Jack Lee Thompson,38.0,5.0,6094.0,1972,12,December,31,Sunday,3.8,7000000.0,3.888888888888889,0.0
94,Big Things,0.0,0.0,,50000.0,2009-12-31,,,,,,,,,,,2009,12,December,31,Thursday,,-50000.0,-1.0,0.0
95,Bogus,4357406.0,4357406.0,,32000000.0,1996-09-06,PG,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40.0,4.8,2742.0,1996,9,September,6,Friday,4.0,-27642594.0,-0.8638310625,0.0
96,Beverly Hills Cop,234760478.0,316300000.0,,15000000.0,1984-12-05,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83.0,7.3,45065.0,1984,12,December,5,Wednesday,8.3,301300000.0,20.086666666666666,81539522.0
97,Beverly Hills Cop II,153665036.0,276665036.0,,20000000.0,1987-05-20,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46.0,6.1,29712.0,1987,5,May,20,Wednesday,4.6,256665036.0,12.8332518,123000000.0
98,Beverly Hills Cop III,42586861.0,119180938.0,,50000000.0,1994-05-25,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10.0,5.0,21199.0,1994,5,May,25,Wednesday,1.0,69180938.0,1.38361876,76594077.0
99,The Black Hole,35841901.0,35841901.0,,20000000.0,1979-12-21,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42.0,5.6,7810.0,1979,12,December,21,Friday,4.2,15841901.0,0.79209505,0.0
100,Bathory,0.0,3436763.0,,15000000.0,2008-07-10,,,,,,,,,6.1,1446.0,2008,7,July,10,Thursday,,-11563237.0,-0.7708824666666667,3436763.0
101,Big,114968774.0,151668774.0,,18000000.0,1988-06-03,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96.0,7.2,49256.0,1988,6,June,3,Friday,9.6,133668774.0,7.426043,36700000.0
102,The Big Parade,11000000.0,22000000.0,,245000.0,2025-01-01,,,MGM,Based on Play,Drama,,King Vidor,100.0,8.4,2600.0,1925,1,January,1,Wednesday,10.0,21755000.0,88.79591836734694,11000000.0
103,Boyz n the Hood,56190094.0,56190094.0,,6500000.0,1991-07-12,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98.0,7.8,30299.0,1991,7,July,12,Friday,9.8,49690094.0,7.644629846153846,0.0
104,"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,1660865.0,,2000000.0,2003-09-12,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,,2003,9,September,12,Friday,,-339135.0,-0.1695675,0.0
105,Return to the Blue Lagoon,2000000.0,2000000.0,,11000000.0,1990-12-31,,,,,,,,,4.3,4632.0,1990,12,December,31,Monday,,-9000000.0,-0.8181818181818182,0.0
106,"Bright Lights, Big City",16118077.0,16118077.0,,25000000.0,1988-04-01,R,,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,,61.0,6.8,11929.0,1988,4,April,1,Friday,6.1,-8881923.0,-0.35527692,0.0
107,The Blue Bird,887000.0,887000.0,,1200000.0,1975-12-31,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359.0,1975,12,December,31,Wednesday,,-313000.0,-0.2608333333333333,0.0
108,The Blue Butterfly,1610194.0,1610194.0,,10400000.0,2004-02-20,PG,,Alliance,Original Screenplay,Drama,Contemporary Fiction,,44.0,6.2,817.0,2004,2,February,20,Friday,4.4,-8789806.0,-0.8451736538461538,0.0
109,Blade Runner,32656328.0,33139618.0,,28000000.0,1982-06-25,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92.0,8.3,185546.0,1982,6,June,25,Friday,9.2,5139618.0,0.18355778571428571,483290.0
110,Bloodsport,11806119.0,11806119.0,,1500000.0,1988-02-26,,,Cannon,Original Screenplay,Action,Contemporary Fiction,,,6.2,19816.0,1988,2,February,26,Friday,,10306119.0,6.870746,0.0
111,The Blues Brothers,57229890.0,57229890.0,,27000000.0,1980-06-20,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84.0,7.9,62941.0,1980,6,June,20,Friday,8.4,30229890.0,1.1196255555555557,0.0
112,Blow Out,13747234.0,13747234.0,,18000000.0,1981-07-24,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89.0,7.1,10239.0,1981,7,July,24,Friday,8.9,-4252766.0,-0.23626477777777777,0.0
113,De battre mon coeur s'est arrÍtÈ,1023424.0,8589831.0,,5500000.0,2005-07-01,Not Rated,,WellSpring,Original Screenplay,Drama,Contemporary Fiction,,,7.3,7295.0,2005,7,July,1,Friday,,3089831.0,0.5617874545454545,7566407.0
114,The Broadway Melody,2800000.0,4358000.0,,379000.0,1928-12-31,,,MGM,Original Screenplay,Musical,,,38.0,6.7,2017.0,1928,12,December,31,Monday,3.8,3979000.0,10.49868073878628,1558000.0
115,Boom Town,9172000.0,9172000.0,,2000000.0,1939-12-31,,,MGM,Original Screenplay,,,,,7.1,1115.0,1939,12,December,31,Sunday,,7172000.0,3.586,0.0
116,Bound,3802260.0,6300000.0,,4500000.0,1996-10-04,R,,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88.0,7.4,23564.0,1996,10,October,4,Friday,8.8,1800000.0,0.4,2497740.0
117,Bang,527.0,527.0,,10000.0,1996-04-01,,,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",,6.3,369.0,1996,4,April,1,Monday,,-9473.0,-0.9473,0.0
118,Bananas,,,,2000000.0,1971-04-28,PG-13,,MGM,Original Screenplay,Comedy,,Woody Allen,89.0,7.1,12415.0,1971,4,April,28,Wednesday,8.9,,,
119,Bill & Ted's Bogus Journey,37537675.0,37537675.0,,20000000.0,1991-07-19,,,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58.0,5.8,20188.0,1991,7,July,19,Friday,5.8,17537675.0,0.87688375,0.0
120,The Birth of a Nation,10000000.0,11000000.0,,110000.0,2015-02-08,,,,Based on Book/Short Story,Drama,,,100.0,7.1,8901.0,1915,2,February,8,Sunday,10.0,10890000.0,99.0,1000000.0
121,The Ballad of Cable Hogue,3500000.0,5000000.0,,3716946.0,1970-05-13,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92.0,7.3,3125.0,1970,5,May,13,Wednesday,9.2,1283054.0,0.3451903794136369,1500000.0
